Rank,Title,viewCount,embedHtml,channelTitle,commentCount,likeCount,dislikeCount,tags,favoriteCount,videoId,channelId,categoryId
35,Sonny's Blues - Inspired by James Baldwin's Short Story - Starring Saul Williams and Charles Parnell,47903,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5Y9CDEfnKvQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","Gregory Scott Williams, Jr.",21,177,10,"[""Sonny's Blues"", ""James Baldwin's short story"", 'James Baldwin', 'Saul Williams', 'Charles Parnell', 'Gregory Scott Williams Jr', 'Short Film', 'Short story adaptation', 'Music by Ray Charles', 'Music by Gil Scott-Heron', 'Score by John Bickerton', 'Cybel Martin', 'Band', 'Story', 'Brothers', 'Ray Charles (Musician)', 'Musician (Project Role)', 'Love Story', 'Blues (Musical Genre)', 'Seith Mann', 'Harlem', 'New York', 'City', 'Nyc', 'black film', 'African American Film', 'Film (film)', 'black men', 'black man', 'african american men']",0,5Y9CDEfnKvQ,UCc75Hh8Cf8vUMDaWmY1HtSA,1
36,Excerpt of speech from my film James Baldwin Anthology,45637,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/N7Of0Abi10A"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",claireburch,24,196,1,"['James', 'Baldwin', 'Anthology', 'Filmmaker', 'Claire', 'Burch', 'Christopher', 'Sorrenti', 'editor', 'Africian', 'American', 'Author', 'civil', 'rights']",0,N7Of0Abi10A,UCmhbGpgLdswpRhuf56ewppA,25
37,"James Baldwin's  ""Sonny's Blues"" Part 1",45288,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KQebOxg29h4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Carlos Barrera,26,106,20,"['James Baldwin (Author)', ""Sonny's Blues (Short Story)"", 'Literature (Media Genre)', 'Harlem', 'African-American', 'Jazz', 'Short Story (Literary Genre)', 'American Literature']",0,KQebOxg29h4,UCaeiazPlVFYouG70YPK-AVw,27
38,"James Baldwin and embracing the ""stranger""",44551,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/0LmrqtD1E7c"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Jose Antonio Vargas,26,629,5,"['James Baldwin (Author)', 'United States Of America (Country)']",0,0LmrqtD1E7c,UCBqD7XwQxZ4tBSacPEgdcEw,22
39,"James Baldwin and Dick Gregory ""Baldwin's Nigger"" 1969 (FULL)",42557,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/2zkWshZRm-M"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",I Love Ancestry,51,850,20,"['Dick Gregory (Author)', 'James Baldwin (Author)', 'Horace Ove']",0,2zkWshZRm-M,UC4O3I2GMU0ilyV-1CIRQTHA,27
40,GREAT DEBATES: James Baldwin vs William F Buckley Cambridge University Oct 26 1965,41680,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/WPz7kTnEWKE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",kennethdpricedotcom bloggerken,67,505,10,"['James Baldwin', 'William F Buckley', 'Cambridge University']",0,WPz7kTnEWKE,UC28jr6vOz8XOXS9ZvhclbNg,27
41,Margaret Mead & James Baldwin - A Rap On Race (1971),41312,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3WNO6f7rjE0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",reelblack,105,714,19,[],0,3WNO6f7rjE0,UCPk29gUc_ltOGQ6f3Lh5kCg,25
42,James Baldwin vs. William F. Buckley (Part 1),39661,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/-DfGgBb3Zh0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",reasonparty,42,253,6,"['James', 'Baldwin', 'Take', 'This', 'Hammer', 'Civil', 'Rights', 'San', 'Francisco']",0,-DfGgBb3Zh0,UCmkXJbKc8lbLbf1efHLL43A,25
43,Baldwin Speech: Living and Growing in a White World,39302,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/QWF2Wjie7Vs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",thepostarchive,48,701,18,"['James', 'Baldwin', 'Not Your Negro', 'Pacifica Radio Archives', 'Speech', 'Speaks', 'The Fire Next Time', 'Nephew', 'Black Americans', 'Negro', 'African-Americans', 'Writer', 'Whites', 'Go Tell it on The Mountain', 'Oakland', 'Students', 'Thinkers', 'Radical', 'Black', 'Black Nationalism', 'Black Lives Matter', 'BLM', 'Protest', 'Civil Rights Movement', 'Martin Luther King', 'Malcolm X', '#IAmNotYourNegro', 'undercommons', 'thepostarchive']",0,QWF2Wjie7Vs,UCLR5hbk0utzRMOAPxeBqdFw,29
44,"""Free and Brave"" a speech by James Baldwin 1963",37627,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/EMYgOfcgMaI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",thepostarchive,22,407,14,"['Nietzsche', 'Existentialism', 'Black', 'Black Existentialism', 'James', 'Baldwin', 'James Baldwin', 'America', 'American', 'USA', 'Commentary', 'Social', 'Critic', 'Speech', 'Context', 'Myth', 'Mythology', 'Identity', 'Postcolonial', 'Race', 'Gender', 'Sexuality', '#IAmNotYourNegro', 'thepostarchive', 'undercommons', 'poet']",0,EMYgOfcgMaI,UCLR5hbk0utzRMOAPxeBqdFw,24
45,Black man in America James Baldwin,36219,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ke6G3sEdj-s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",thepostarchive,34,460,9,"['James', 'Baldwin', 'Black', 'man', 'America', '1960s', 'Civil Rights', 'James Baldwin (Author)', 'Literature (Media Genre)', 'Nobody Knows My Name', ""Giovanni's Room"", 'Go Tell It On The Mountain', 'Politics', 'Race', 'Gender', 'Sexuality', 'History', 'Postcolonial', 'Studs Terkel', '#IAmNotYourNegro', 'thepostarchive']",0,Ke6G3sEdj-s,UCLR5hbk0utzRMOAPxeBqdFw,25
46,James Baldwin: The Moral Responsibility of the Artist,35143,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/PlnDbqLNv-M"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",thepostarchive,28,675,11,"['The Fire Next Time', 'James', 'Baldwin', 'Race', 'America', 'American', 'Literature', 'Essay', 'critic', 'Social', 'cultural', 'African American', 'Afro-American', 'Black', 'Black lives matter', 'BLM', 'Open Letter', 'Gender', 'Civil Rights', 'Movement', 'Writer', 'Writers', 'Not Your Negro', 'The Moral Responsibility of the Artist', '1963', '1960s', 'Racism', 'Art', 'Black Thought', '#IAmNotYourNegro', 'thepostarchive', 'undercommons']",0,PlnDbqLNv-M,UCLR5hbk0utzRMOAPxeBqdFw,29
47,James Baldwin Speaks! The Free and The Brave,34797,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pXlDXM1TVKI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Matthew Siegfried,18,360,5,"['James Baldwin', 'The Fire Next Time', 'Racism', 'Civil Rights', 'Revolution', 'Social Change', 'Race and Class', 'History']",0,pXlDXM1TVKI,UCG9tVpVvat2r7Syk_z8H4pA,29
48,"Baldwin's ""American Dream and American Negro"" Speech",34007,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O-S2o_wX5cw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",michoux26,17,430,12,['Baldwin'],0,O-S2o_wX5cw,UCBa17TiBJKdyF_yavs30ZLw,24
49,"James Baldwin: How Much Time Do You Want For Your ""Progress?""",33973,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/OCUlE5ldPvM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",UnaffiliatedCritic,10,493,4,['James Baldwin (Author)'],0,OCUlE5ldPvM,UCRc_dJ1MTVYlpUrlJzCFeGA,24
